[2025-04-09 01:18:11,866] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,867] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,971] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,971] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,080] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,081] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,183] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,183] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,287] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,288] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,391] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,391] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,493] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,494] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,598] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,598] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,701] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,702] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,805] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,806] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:12,910] ERROR: Not connected to tracker.
[2025-04-09 01:18:12,911] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,016] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,017] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,120] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,121] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,226] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,226] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,329] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,330] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,434] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,435] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,540] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,540] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,643] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,644] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,748] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,749] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,853] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,855] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:13,958] ERROR: Not connected to tracker.
[2025-04-09 01:18:13,959] INFO: No peers available for UDP broadcast.
